"Rank","Desc"
" 71","Stockyards"
" 71","Working class"
" 71","Fiction"
" 72","Erotic stories, German"
" 73","Civil disobedience"
" 73","Solitude"
" 73","Thoreau, Henry David, 1817-1862"
" 73","Homes and haunts"
" 73","Massachusetts"
" 73","Walden Woods"
" 73","Government, Resistance to"
" 73","Natural history"
" 73","Wilderness areas"
" 73","Authors, American"
" 73","19th century"
" 73","Biography"
" 73","Walden Woods (Mass.)"
" 73","Social life and customs"
" 74","England"
" 74","Political fiction,Education"
" 74","Utilitarianism"
" 74","Social problems"
" 74","Domestic fiction"
" 75","Brothers"
" 75","Fathers and sons"
" 75","Didactic fiction,Russia"
" 75","Social life and customs"
" 75","1533-1917"
" 75","Fiction"
" 76","United States"
" 76","Social conditions,Democracy"
" 76","United States,United States"
" 76","Politics and government"
" 77","Short stories, French"
" 77","Translations into English"
" 78","English language"
" 78","Composition and exercises"
" 78","Grammar"
" 78","Problems, exercises, etc."
" 79","England"
" 79","Social life and customs"
" 79","19th century"
" 79","Bildungsromans,Orphans"
" 79","Child labor"
" 79","Autobiographical fiction,England"
" 79","Young men"
" 79","Boys"
" 79","Stepfathers"
" 79","Fiction"
" 80","Lancaster (Mass.)"
" 80","History"
" 80","Colonial period, ca. 1600-1775"
" 80","King Philip's War, 1675-1676"
" 80","Massachusetts"
" 80","Biography"
" 80","Indian captivities"
" 80","Rowlandson, Mary White, approximately 1635-1711"
" 81","Plantation life"
" 81","Slavery"
" 81","Uncle Tom (Fictitious character)"
" 81","African Americans"
" 81","Political fiction,Master and servant"
" 81","Fugitive slaves"
" 81","Southern States"
" 81","Slaves"
" 81","Didactic fiction"
" 82","Characters and characteristics"
" 83","Ghosts"
" 83","New York (State)"
" 83","History"
" 83","1775-1865"
" 83","Fiction"
" 84","Voyages around the world"
" 84","Adventure stories"
" 85","Russia"
" 85","Adultery"
" 85","Married women"
" 85","Didactic fiction,Love stories"
" 86","Belgians"
" 86","England"
" 86","Fiction"
" 86","Private investigators"
" 86","Detective and mystery stories"
" 86","Poirot, Hercule (Fictitious character)"
" 87","Pet theft"
" 87","Animal welfare"
" 87","Klondike River Valley (Yukon)"
" 87","Feral dogs"
" 87","Dogs"
" 87","Adventure stories,Nature stories,Sled dogs"
" 87","Fiction"
" 88","Friendship"
" 88","Fiction"
" 88","Country life"
" 88","Prince Edward Island"
" 88","Orphans"
" 88","Bildungsromans"
" 88","History"
" 88","20th century"
" 88","Canada"
" 88","1867-1914"
" 88","Shirley, Anne (Fictitious character)"
" 88","Girls"
" 88","Islands"
" 89","Ship captains"
" 89","First loves"
" 89","Regency fiction,Rejection (Psychology)"
" 89","England"
" 89","Social life and customs"
" 89","19th century"
" 89","Young women"
" 89","Psychological fiction,Dysfunctional families"
" 89","Motherless families"
" 89","Love stories"
" 90","Picaresque literature,Spain"
" 90","Social life and customs"
" 90","16th century"
" 90","Knights and knighthood"
" 90","Spain"
" 90","Romances"
" 91","Education"
" 91","Social aspects,Education"
" 91","Philosophy"
" 92","Autobiographical fiction,Artists"
" 92","Bildungsromans,Dublin (Ireland)"
" 92","Young men"
" 92","Fiction"
" 93","Faust, -approximately 1540"
" 93","Drama"
" 93","Tragedies"
" 93","Germany"
" 93","Magicians"
" 94","New England"
" 94","Accident victims"
" 94","Triangles (Interpersonal relations)"
" 94","Rural poor"
" 94","Married people"
" 94","Domestic fiction"
" 95","Eve (Biblical figure)"
" 95","Poetry,Bible. Genesis"
" 95","History of Biblical events"
" 95","Poetry,Fall of man"
" 95","Poetry,Adam (Biblical figure)"
" 95","Poetry"
" 96","Vendetta"
" 96","Drama,Verona (Italy)"
" 96","Drama,Conflict of generations"
" 96","Drama,Juliet (Fictitious character)"
" 96","Drama,Romeo (Fictitious character)"
" 96","Drama,Youth"
" 96","Drama"
" 97","Utopias"
" 97","Early works to 1800"
" 98","Mythology, Classical"
" 99","Erotic stories"
"100","United States"
"100","Politics and government"
"100","1775-1783,Monarchy"
"100","Early works to 1800,Political science"
"100","Early works to 1800"
"101","Gentry"
"101","England"
"101","Horror tales"
"101","Appreciation"
"101","Books and reading"
"101","Satire,Gothic fiction (Literary genre),England"
"101","Social life and customs"
"101","19th century"
"101","England"
"101","Marriage"
"101","Economic aspects"
"101","Young women"
"101","Love stories"
"102","Boston (Mass.)"
"102","History"
"102","Colonial period, ca. 1600-1775"
"102","Fiction"
"102","Revenge"
"102","Married women"
"102","Adultery"
"102","Triangles (Interpersonal relations)"
"102","Women immigrants"
"102","Illegitimate children"
"102","Historical fiction"
"102","Psychological fiction"
"102","Clergy"
"102","Puritans"
"103","Socialism,Communism"
"104","Governesses"
"104","England"
"104","Children"
"104","Ghost stories,Psychological fiction"
"105","Women and peace"
"105","Drama"
"105","Aristophanes"
"105","Translations into English"
"105","Lysistrata (Fictitious character)"
"105","Peace movements"
"105","Greece"
"105","History"
"105","Peloponnesian War, 431-404 B.C."
"105","Greek drama (Comedy)"
"105","Comedies"
"106","African Americans"
"107","Domestic fiction,Married women"
"107","Middle class"
"107","Suicide victims"
"107","Physicians' spouses"
"107","France"
"107","Adultery"
"107","Fiction"
"108","Philippine fiction (Spanish)"
"108","Translations into English,Nationalists"
"108","Philippines"
"108","Philippines"
"108","History"
"108","Fiction"
"109","Norwegian drama"
"109","Translations into English,Man-woman relationships"
"109","Drama,Identity (Psychology)"
"109","Drama,Women"
"109","Social conditions"
"109","Drama"
"110","Detective and mystery stories, English"
"110","Holmes, Sherlock (Fictitious character)"
"110","Fiction"
"111","Arthur, King"
"111","Legends"
"111","Arthurian romances"
"112","Fantasy fiction"
"112","American fiction"
"112","19th century"
"112","Horror tales, American"
"112","Poe, Edgar Allan, 1809-1849"
"113","Don Juan (Legendary character)"
"113","Poetry"
"114","War stories,Mars (Planet)"
"114","Science fiction,Martians"
"114","Space warfare"
"114","Life on other planets"
"114","Imaginary wars and battles"
"114","Fiction"
"115","Country homes"
"115","Adoptees"
"115","Children of the rich"
"115","Uncles"
"115","Cousins"
"115","England"
"115","Domestic fiction,Young women"
"115","Love stories"
"116","Animals"
"116","Fiction"
"116","Children's stories, English"
"116","Short stories"
"117","City and town life"
"117","Bildungsromans,England"
"117","Married people"
"117","Domestic fiction,Didactic fiction,Young women"
"117","Love stories"
"118","Philosophy,Superman (Philosophical concept)"
"119","Life,Ethics,Stoics"
"120","Evolution (Biology),Natural selection"
"121","Legends"
"121","Germany"
"121","Drama"
"121","Magicians"
"121","German poetry"
"121","Translations into English"
"121","Faust, -approximately 1540"
"122","Economics"
"123","Rabbits"
"123","Juvenile fiction"
"124","Etiquette for women"
"124","Formulas, recipes, etc."
"124","Etiquette"
"124","United States"
"124","Handbooks, manuals, etc."
"125","Knowledge, Theory of"
"126","New England"
"126","Sisters"
"126","Bildungsromans,Autobiographical fiction,Family life"
"126","Young women"
"126","March family (Fictitious characters)"
"126","Domestic fiction,Mothers and daughters"
"126","Fiction"
"127","Metaphysics"
"127","Knowledge, Theory of"
"127","Philosophy"
"127","Introductions"
"128","Bildungsromans,Illegitimate children"
"128","London (England)"
"128","Guardian and ward"
"128","Legal stories,Inheritance and succession"
"128","Domestic fiction,Young women"
"128","Fiction"
"129","Fantasy fiction"
"129","American fiction"
"129","19th century"
"129","Horror tales, American"
"129","Short stories"
"130","Vocabulary"
"130","Humor,English language"
"130","Semantics"
"130","Dictionaries"
"130","Humor"
"131","Military art and science"
"131","Early works to 1800,War"
"131","Early works to 1800"
"132","Philosophy, German"
"132","Causation"
"132","Reason"
"132","Knowledge, Theory of"
"133","Prostitutes"
"133","England"
"133","Erotic stories"
"134","Drawing"
"135","Private investigators"
"135","England"
"135","Fiction"
"135","Detective and mystery stories"
"135","Holmes, Sherlock (Fictitious character)"
"136","Epic poetry, Greek"
"136","Translations into English"
"136","Odysseus (Greek mythology)"
"136","Homer"
"137","Princesses"
"137","Fiction"
"137","Dejah Thoris (Fictitious character)"
"137","Carter, John (Fictitious character)"
"137","Mars (Planet)"
"137","Science fiction"
"138","Tales"
"138","China"
"138","Legends"
"138","Mythology, Chinese"
"139","France"
"139","History"
"139","Louis XIII, 1610-1643"
"139","Fiction"
"139","Adventure and adventurers"
"139","Swordsmen"
"139","Historical fiction"
"140","Science fiction,Short stories"
"141","Unrequited love"
"141","Young men"
"141","Germany"
"141","Germany"
"141","Social life and customs"
"141","Fiction"
"142","Country homes"
"142","Psychological fiction,Art teachers"
"142","Nobility"
"142","Deception"
"142","Gothic fiction (Literary genre),England"
"142","Psychiatric hospital patients"
"142","Inheritance and succession"
"142","Love stories"
"143","Political fiction,Russia"
"143","Officials and employees"
"143","Russia"
"143","History"
"143","1801-1917"
"143","Fiction"
"144","Latin language"
"144","Grammar"
"144","Problems, exercises, etc."
"145","Private investigators"
"145","England"
"145","Fiction"
"145","Detective and mystery stories, English"
"145","Holmes, Sherlock (Fictitious character)"
"146","Rome"
"146","History"
"146","Empire, 30 B.C.-476 A.D."
"146","Byzantine Empire"
"146","To 527"
"146","Indexes"
"147","Social problems"
"147","Fiction"
"148","Hamlet (Legendary character)"
"148","Drama,Tragedies,Murder victims' families"
"148","Drama,Princes"
"148","Drama,Denmark"
"148","Drama,Fathers"
"148","Death"
"148","Drama,Revenge"
"148","Drama,Kings and rulers"
"148","Succession"
"148","Drama"
"149","English language"
"149","Middle English, 1100-1500"
"149","Dictionaries"
"151","Country life"
"151","Humorous stories,Pastoral fiction,England"
"151","Fantasy fiction,Animals"
"151","Friendship"
"151","River life"
"151","Fiction"
"152","Pastoral fiction,Wessex (England)"
"152","Children of clergy"
"152","Children of the rich"
"152","Triangles (Interpersonal relations)"
"152","Poor families"
"152","Women household employees"
"152","Man-woman relationships"
"152","Women murderers"
"152","Rape victims"
"152","Didactic fiction"
"153","Scotland"
"153","Kings and rulers"
"153","Drama"
"153","Tragedies"
"153","Macbeth, King of Scotland, active 11th century"
"153","Regicides"
"154","Report writing,English language"
"154","Style,English language"
"154","Rhetoric"
"155","London (England)"
"155","Drama,Comedies"
"156","Picaresque literature,Spain"
"156","Social life and customs"
"156","16th century"
"156","Knights and knighthood"
"156","Spain"
"156","Romances"
"157","Edward VI, King of England, 1537-1553"
"157","Fiction"
"157","Princes"
"157","Social classes"
"157","Poor children"
"157","London (England)"
"157","Impostors and imposture"
"157","Historical fiction"
"157","Lookalikes"
"157","Boys"
"158","Children of clergy"
"158","Fiction"
"158","Bildungsromans"
"158","Social classes"
"158","Didactic fiction"
"158","Young women"
"158","England, Northern"
"158","Mothers and daughters"
"159","Pilgrims and pilgrimages"
"159","Europe"
"159","Poetry,Voyages and travels"
"159","Poetry,English poetry"
"160","Melancholy"
"160","Early works to 1800"
"161","Leonardo, da Vinci, 1452-1519"
"161","Notebooks, sketchbooks, etc."
"162","Fairy tales"
"162","Denmark"
"162","Children's stories, Danish"
"162","Translations into English"
"164","American drama"
"166","Celestial mechanics"
"166","Early works to 1800,Mechanics"
"166","Early works to 1800"
"167","Catholic Church"
"167","Bishops"
"167","Biography"
"167","Algeria"
"167","Hippo (Extinct city)"
"167","Augustine, Saint, Bishop of Hippo"
"167","Christian saints"
"168","Autobiographical fiction,Villages"
"168","France"
"168","France"
"168","Social life and customs"
"168","19th century"
"168","Fiction"
"169","Slaves"
"169","United States"
"169","Biography"
"169","Plantation life"
"169","Louisiana"
"169","History"
"169","19th century"
"169","Northup, Solomon, 1808-1863?"
"169","Slaves' writings, American"
"169","African Americans"
"169","Slavery"
"170","Russia"
"170","Social life and customs"
"170","Drama"
"170","Authors, Russian"
"170","19th century"
"170","Russian drama"
"170","Translations into English"
"170","Man-woman relationships"
"172","Beresford, Tommy (Fictitious character)"
"172","Fiction"
"172","Detective and mystery stories"
"172","Private investigators"
"172","England"
"172","Beresford, Tuppence (Fictitious character)"
"172","Missing persons"
"172","Married people"
"172","Domestic fiction"
"173","Architecture"
"173","Early works to 1800"
"174","Epic poetry, Italian"
"174","Translations into English"
"174","Italian poetry"
"174","To 1400"
"174","Hell"
"174","Poetry"
"175","Philippines"
"175","History"
"175","1812-1898"
"175","Historical fiction"
"176","Communism"
"176","Soviet Union,Mongolia"
"176","Description and travel"
"177","Inheritance and succession"
"177","Gothic fiction (Literary genre),Horror tales"
"178","English poetry"
"178","18th century"
"179","Country homes"
"179","Jewelry theft"
"179","Police"
"179","England"
"179","England"
"179","East Indians"
"179","Mystery fiction"
"180","Gothic fiction (Literary genre),Short stories,Horror tales"
"181","Upper class"
"181","Separated people"
"181","Triangles (Interpersonal relations)"
"181","Married people"
"181","New York (N.Y.)"
"181","Domestic fiction,Love stories"
"182","Legends"
"182","Rome"
"182","Poetry"
"182","Aeneas (Legendary character)"
"182","Epic poetry, Latin"
"182","Translations into English"
"183","Wishes"
"183","Horror tales"
"184","Fantasy"
"185","People with disabilities"
"185","Gardens"
"185","Orphans"
"185","Yorkshire (England)"
"185","Fiction"
"186","Greece"
"186","History"
"186","Peloponnesian War, 431-404 B.C."
"187","Britons"
"187","Time travel"
"187","Fantasy fiction,Satire,Kings and rulers"
"187","Arthurian romances"
"187","Adaptations,Americans"
"187","Great Britain"
"187","Knights and knighthood"
"187","Fiction"
"188","Packing-house products,Animal industry"
"188","United States"
"189","Vampires"
"189","Young women"
"189","Fiction"
"190","Diary fiction,Humorous stories,Eve (Biblical figure)"
"190","Bible. Genesis"
"190","History of Biblical events"
"190","Fiction"
"191","Ethics"
"192","Men"
"192","Psychology"
"192","Psychological fiction,Time travel"
"192","Science fiction,Love stories,Individuality"
"192","Fiction"
"193","England"
"193","British"
"193","Italy"
"193","Humorous stories,Young women"
"193","Florence (Italy)"
"193","Fiction"
"194","Epic poetry, Italian"
"194","Translations into English"
"194","Italian poetry"
"194","To 1400"
"195","Wood,Wood"
"195","Testing"
"196","Virtue"
"196","Epistolary fiction,Kidnapping victims"
"196","Didactic fiction,Women household employees"
"196","England"
"196","Master and servant"
"196","Fiction"
"197","College students"
"197","Fiction"
"197","Children of the rich"
"197","Bildungsromans"
"197","World War, 1914-1918"
"197","Veterans"
"197","Advertising"
"197","Young men"
"197","Love stories"
"198","Short stories, English"
"198","Children's stories, English"
"198","Fairy tales"
"199","Voyages and travels,Middle East"
"199","Description and travel,Europe"
"199","Description and travel"
"200","English poetry"
"200","18th century"
"201","Trials (Murder)"
"201","Missouri"
"201","Race relations"
"201","Infants switched at birth"
"201","Impostors and imposture"
"201","Passing (Identity)"
"201","Legal stories"
"202","Classical literature"
"202","Philosophy, Ancient"
"202","Socrates, 470 BC-399 BC"
"202","Love"
"202","Early works to 1800"
"203","Etiquette for men,Etiquette,Men"
"203","Conduct of life"
"205","Antigone (Mythological character)"
"205","Drama,Greek drama (Tragedy)"
"205","Translations into English,Oedipus (Greek mythological figure)"
"205","Drama,Tragedies"
"206","Virginia"
"206","History"
"206","Civil War, 1861-1865"
"206","Fiction"
"206","War stories"
"206","United States"
"206","Historical fiction"
"206","Chancellorsville, Battle of, Chancellorsville, Va., 1863"
"207","Working class"
"207","Great Britain,Great Britain"
"207","Economic conditions"
"208","Epic poetry, Italian"
"208","Translations into English"
"208","Italian poetry"
"208","To 1400"
"208","Hell"
"208","Poetry"
"209","France"
"209","History"
"209","17th century"
"209","Drama"
"209","Authors, French"
"209","Cyrano de Bergerac, 1619-1655"
"210","Hamlet (Legendary character)"
"210","Drama,Tragedies,Murder victims' families"
"210","Drama,Princes"
"210","Drama,Denmark"
"210","Drama,Fathers"
"210","Death"
"210","Drama,Revenge"
"210","Drama,Kings and rulers"
"210","Succession"
"210","Drama"
"211","Methodology,Science"
"211","Methodology"
"212","Slums"
"212","Poor women"
"212","Psychological fiction,Prostitutes"
"212","Poor families"
"212","Suicide victims"
"212","New York (N.Y.)"
"212","Fiction"
"213","Literature"
"213","Collections"
"214","Submarines (Ships)"
"214","Science fiction,Sea stories,Underwater exploration"
"214","Fiction"
"215","Short stories, American"
"215","Horror tales, American"
"215","United States"
"215","Social life and customs"
"215","19th century"
"215","Fiction"
"216","Will"
"216","Philosophy"
"216","Idea (Philosophy)"
"216","Knowledge, Theory of"
"217","Philippines"
"217","Politics and government"
"217","1898-1935,Philippines"
"217","History"
"217","1898-1946"
"218","Chaucer, Geoffrey, -1400"
"218","English poetry"
"218","Christian pilgrims and pilgrimages"
"218","Poetry"
"219","Humorous stories"
"219","Valets"
"219","Fiction"
"219","Jeeves (Fictitious character)"
"219","Wooster, Bertie (Fictitious character)"
"219","England"
"219","Single men"
"220","Virtues"
"220","Poetry,Knights and knighthood"
"220","Poetry"
"221","Prostitution"
"221","Great Britain"
"221","Drama,Working class women"
"221","Drama,Prostitutes"
"221","Drama,Great Britain"
"221","Social conditions"
"221","19th century"
"221","Drama"
"222","Apologetics,Philosophy"
"223","Erotic stories,Sadomasochism"
"223","Fiction"
"224","Arthur, King"
"224","Legends"
"224","Knights and knighthood"
"224","Folklore"
"224","England"
"224","Arthurian romances"
"224","Adaptations"
"225","Rome"
"225","Fiction"
"225","Satire, Latin"
"225","Translations into English"
"226","Christian fiction,Christian pilgrims and pilgrimages"
"226","Fiction"
"227","Adventure and adventurers"
"227","Kidnapping"
"227","Scotland"
"227","History"
"227","18th century"
"227","Historical fiction"
"228","Military art and science,War"
"229","Rousseau, Jean-Jacques, 1712-1778"
"229","Authors, French"
"229","18th century"
"229","Biography"
"230","Psychological fiction,Metamorphosis"
"230","Fiction"
"231","Russia"
"231","Social conditions"
"231","1801-1917"
"231","Historical fiction"
"233","Self-experimentation in medicine"
"233","Psychological fiction,Multiple personality"
"233","Physicians"
"233","London (England)"
"233","Science fiction,Horror tales"
"235","Challenger, Professor (Fictitious character)"
"235","Fiction"
"235","Fantasy fiction"
"235","Prehistoric peoples"
"235","Dinosaurs"
"235","South America"
"236","Mississippi River"
"236","Description and travel"
"236","Mississippi River Valley"
"236","Social life and customs"
"236","19th century"
"236","Authors, American"
"236","Biography"
"236","Pilots and pilotage"
"236","Twain, Mark, 1835-1910"
"236","Travel"
"237","Ethics"
"237","Knowledge, Theory of"
"239","Plague"
"239","Europe"
"239","History"
"239","Allegories,Frame-stories,Storytelling"
"239","Fiction"
"240","Women's rights"
"240","Great Britain,Women"
"240","History"
"240","19th century,Women"
"240","Education"
"240","Great Britain,Feminism"
"241","Africa"
